,establecimiento_id,establecimiento_nombre,origen_financiamiento,departamento_id,provincia_id,tipologia_nombre
17924,52900422397022,CENTRO PRIVADO DE REHABILITACION FISICA ALBERDI,Privado,42,90,Centro Rehabilitación motora
17925,50300842342691,CONSULTORIO MEDICO INSTITUTO MEDICO BIOQUIMICO,Privado,84,30,Con atención médica diaria y con especialidades y/o otras profesiones
17926,52300082342692,SERVICIO DE REHABILITACION Y CENTRO DE DIA SANTA ANA,Privado,8,30,Centro de día
17927,53940072395177,OPTICA  LA OPTICA,Privado,7,94,Óptica
17928,53140142333824,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO A RODAR,Privado,14,14,Sistema de Atención extra hospitalaria
17929,15140142333471,RESIDENCIA GERIATRICA PRIVADA NARANJO EN FLOR,Privado,14,14,Bajo riesgo con internación simple
17930,50140142333472,CENTRO MODELO DE CIRUGIA ESTETICA INTERPLASTICA CORDOBA,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17931,52380212350515,FUNDACION IDEAS,Privado,21,38,Otros
17932,14860492392888,CLINICA DEL PILAR S R L,Privado,49,86,Bajo riesgo con internación simple
17933,52380212350521,SENTIR II,Privado,21,38,Otros
17934,50140142333512,CENTRO MEDICO QUIRURGICO DEL ACONCAGUA SANATORIO PRIVADO,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17935,50140142333515,CENTRO PRIVADO DE CIRUGIA Y CLINICA ESTETICA,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17936,50140142333521,CENTRO DE INTEGRACION ESCOLAR LOGROS,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17937,52380212350525,ASOCIACION DE PROTECCION AL PARALITICO CEREBRAL - CENTRO DE DIA,Privado,21,38,Centro de día
17938,15820632386555,GERIATRICO COMPLEJO PORTAL RECOLETA,Privado,63,82,Bajo riesgo con internación simple
17939,15820632386559,GERIATRICO LA CASA DE MIS ABUELOS,Privado,63,82,Bajo riesgo con internación simple
17940,15820702386577,GERIATRICO EL ABUELO,Privado,70,82,Bajo riesgo con internación simple
17941,15820702386581,HOLEPAM DULCE AMANECER,Privado,70,82,Bajo riesgo con internación simple
17942,15820702386582,HOLEPAM RINCON DE LUZ,Privado,70,82,Bajo riesgo con internación simple
17943,15820702386583,HOLEPAM RINCON DE PAZ,Privado,70,82,Mediano riesgo con internación con cuidados especiales
17944,15820702386585,GERIATRICO MARIA AUXILIADORA,Privado,70,82,Bajo riesgo con internación simple
17945,15820352386586,GERIATRICO NONOS,Privado,35,82,Mediano riesgo con internación con cuidados especiales
17946,15821052386587,GERIATRICO LA TATI,Privado,105,82,Bajo riesgo con internación simple
17947,15821262386590,GERIATRICO LOS SAUCES,Privado,126,82,Mediano riesgo con internación con cuidados especiales
17948,50140422333320,BOCKUS S.A - CENTRO DE SALUD DIGESTIVA,Privado,42,14,Con atención médica diaria y con especialidades y/o otras profesiones
17949,52140142333360,UNIDAD DE DIALISIS DEL SERVICIO DE NEFROLOGIA Y TRANSPLANTE DE LA CLINICA PRIVADA VELEZ SARSFIELD,Privado,14,14,Centro de Diálisis
17950,50140142333378,CENTRO INTEGRAL DE TERAPEUTAS ESPECIALIZADOS,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17951,50140142333519,CENTRO MEDICO OSUTHGRA PRIVADO,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17952,50140142333629,CENTRO MEDICO DE CLINICA PRIVADA DEL SOL,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17953,53860492392893,MEDICGAMMA S.R.L.,Privado,49,86,Diagnostico por Imágenes
17954,50900842397009,CENTRO TERAPEUTICO DE NUTRICION TUCUMAN,Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
17955,52500213058939,FUNDACION CREYENDO EN MI.-,Privado,21,50,Centro de día
17956,50580772367466,CONSULTORIOS MEDICOS DE LA DRA. ANA MONTES,Privado,77,58,Con atención médica diaria y con especialidades y/o otras profesiones
17957,53300982342695,CENTRO PREVENTIVO ASISTENCIAL EN ADICCIONES EL EDEN,Privado,98,30,Con atención médica diaria y con especialidades y/o otras profesiones
17958,53900842397053,PRESTADORES DOMICILIARIOS DE LA SALUD - PRESDOSA,Privado,84,90,Otros
17959,51260772329427,LAC TRELEW,Privado,77,26,Laboratorio de Análisis Clínicos
17960,53140142333543,SIPCADI S.R.L - SERVICIO DE TRASLADO CRONICOS,Privado,14,14,Sistema de Atención extra hospitalaria
17961,53140142333544,LG TRANSPORTE PRIVADO - TRASLADO CRONICOS,Privado,14,14,Sistema de Atención extra hospitalaria
17962,50068262307522,CENTRO DE RADIOTERAPIA DEL OESTE,Privado,826,6,Diagnostico por Imágenes
17963,50140982333555,EMERGENCIAS RIO CUARTO SRL - CENTRO MEDICO,Privado,98,14,Con atención médica diaria y con especialidades y/o otras profesiones
17964,50141612333569,CINED,Privado,161,14,Con atención médica diaria y con especialidades y/o otras profesiones
17965,50140142333580,CENTRO DE ATENCION PRIMARIA DE LA SALUD DR. ORLANDO TORRESAN - SEC. CORDOBA,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17966,50140142333590,CENTRO MEDICO PRIVADO INTEGRAL CEPRIN RED,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17967,15140982333596,RESIDENCIA GERIATRICA PRIVADA LA MEDALLA MILAGROSA,Privado,98,14,Bajo riesgo con internación simple
17968,50140142333614,CENTRO EDUCATIVO TERAPEUTICO CON INTEGRACION ESCOLAR EL PUENTE - ORMA 1685,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17969,52065152307527,CENTRO DE DIA EL PORTAL,Privado,515,6,Centro de día
17970,50140142333652,CENTRO MEDICO - CONSULTORIOS MEDICOS URCA SRL,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17971,50140142233666,CENTRO DE SALUD N° 50 - BARRIO VILLA ADELA,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17972,50140142233669,CENTRO DE SALUD N° 34 LOS NOGALES - BARRIO 9 DE JULIO,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17973,50020012317652,ESTABLECIMIENTO ASISTENCIAL DROGADEPENDENCIA NIVEL II HOSP. DE DIA ASOC. CIV. VALORARTE,Privado,7,2,Con atención médica diaria y con especialidades y/o otras profesiones
17974,50820492286538,CENTRO DE SALUD POSTA EL TIMBO,Municipal,49,82,Sin atención médica en forma periódica (menor a 3 veces por semana)
17975,52500213058937,CENTRO DE ATENCION INTEGRAL A LA PERSONA CON DISCAPACIDAD.-,Privado,21,50,Con atención médica diaria y con especialidades y/o otras profesiones
17976,51260772329423,LABORATORIO ANATOMIA PATOLOGICA DRA PAOLA CAMBRA,Privado,77,26,Análisis clínicos y Laboratorio de Anatomía Patológica
17977,50140142333711,CENTRO DE SALUD DEL CENTRO DE JUBILADOS Y PENSIONADOS QUEBRADA LAS ROSAS,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17978,53940142395165,LABORATORIO DE ANALISIS CLINICOS GOBERNADOR PAZ,Privado,14,94,Laboratorio de Análisis Clínicos
17979,53140142333834,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO M Y G FERRO,Privado,14,14,Sistema de Atención extra hospitalaria
17980,52580912367484,SERVICIO DE KINESIOLOGIA DEL KGO. JORGE PASI,Privado,91,58,Centro Rehabilitación motora
17981,15820632386552,GERIATRICO BERNARDINO MARTINEZ,Privado,63,82,Bajo riesgo con internación simple
17982,50580352367401,CONSULTORIOS EXTERNOS DEL ALTO,Privado,35,58,Con atención médica diaria y con especialidades y/o otras profesiones
17983,50140142333620,CENTRO EDUCATIVO TERAPEUTICO CON INTEGRACION ESCOLAR - INSTITUTO SULLAI,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17984,50140142333633,CENTRO APADIM CORDOBA,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17985,50140142233655,CENTRO DE SALUD N° 32 - BARRIO YAPEYU,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17986,50140142233656,CENTRO DE SALUD N° 10 - BARRIO COLONIA LOLA,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17987,50140142233659,UPAS N° 24 - BARRIO SACHI,Municipal,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17988,53140142333688,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO KALYANI,Privado,14,14,Sistema de Atención extra hospitalaria
17989,51740562180337,LABORATORIO DE GENETICA FORENSE - ANALISIS DE ADN,Provincial,56,74,Laboratorio de Análisis Clínicos
17990,50301052342685,CENTRO MEDICO CPC - CENTRO PROFESIONAL CONGRESO Y COC - CENTRO DE OJOS CONGRESO,Privado,105,30,Con atención médica diaria y con especialidades y/o otras profesiones
17991,52300842342687,CENTRO DE DIA DON UVA,Privado,84,30,Centro de día
17992,50900842397026,CENTRO MEDICO AMENABAR,Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
17993,50900842397044,CENTRO MEDICO C.I.N.O,Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
17994,50900842397046,IN.P.E.A.,Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
17995,15180212339560,GERIATRICO RESIDENCIAS DEL LITORAL,Privado,21,18,Bajo riesgo con internación simple
17996,53062242307451,VISION,Privado,224,6,Sistema de Atención extra hospitalaria
17997,50140142333308,CENTRO DIABETOLOGICO CORDOBA DR. WAITMAN,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17998,50140142333343,CENTRO MEDICO PRIVADO PEDIATRICA S.R.L,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
17999,53140142333364,SERVICIO DE ATENCION DOMICILIARIA REBORN SRL,Privado,14,14,Sistema de Atención extra hospitalaria
18000,50900842396982,CENTRO EDUCATIVO TERAPEUTICO (A.P.P.A.CE.T),Privado,84,90,Con atención médica diaria y con especialidades y/o otras profesiones
18001,15064412307481,DOMUM AMELI S.A HOGAR GERIATRICO MODELO,Privado,441,6,Bajo riesgo con internación simple
18002,50060912307502,CENTRO DE REHABILITACION BERAZATEGUI,Privado,91,6,Con atención médica diaria y con especialidades y/o otras profesiones
18003,50140142333644,CENTRO PRIVADO DE ORTOPEDIA Y TRAUMATOLOGIA S.R.L,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
18004,50140142333615,CENTRO EDUCATIVO TERAPEUTICO CON INTEGRACION ESCOLAR EL PUENTE - PLAZA 3832,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
18005,52063152207529,CENTRO DE ATENCION PRIMARIA DE LA SALUD DR RENEE FAVALORO,Municipal,315,6,Con atención médica diaria y con especialidades y/o otras profesiones
18006,50301132242672,CENTRO DE SALUD BARRIO CHACO,Municipal,113,30,Con atención médica general por lo menos 3 días de la semana
18007,53140142333808,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO JM MARCELA,Privado,14,14,Sistema de Atención extra hospitalaria
18008,53141192333809,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO PABLO,Privado,119,14,Sistema de Atención extra hospitalaria
18009,53140912333819,SERVICIO DE TRASLADO AR - SALUD,Privado,91,14,Sistema de Atención extra hospitalaria
18010,53260072329428,ECA  - ESPACIO PARA LA CONSTRUCCION DE APRENDIZAJES,Privado,7,26,Otros
18011,53140142333899,SERVICIO DE TRASLADO DE PACIENTES BAJO TRATAMIENTO CRONICO EZE,Privado,14,14,Sistema de Atención extra hospitalaria
18012,53580702367443,OPTICA LENTI,Privado,70,58,Óptica
18013,50140142333692,CENTRO MEDICO PRIVADO BLOSSOM DMO ARGENTINA,Privado,14,14,Con atención médica diaria y con especialidades y/o otras profesiones
