,cobertura,edad,mujer,total,provincia_id,año
222,Con cobertura,108,1,1,2,2010
225,Con cobertura,0,2390,4857,2,2010
226,Con cobertura,1,2285,4435,2,2010
227,Con cobertura,2,2124,4558,2,2010
228,Con cobertura,3,2103,4311,2,2010
229,Con cobertura,4,2110,4243,2,2010
230,Con cobertura,5,2085,4124,2,2010
231,Con cobertura,6,2271,4365,2,2010
232,Con cobertura,7,1878,3979,2,2010
233,Con cobertura,8,1966,4102,2,2010
234,Con cobertura,9,1888,3736,2,2010
235,Con cobertura,10,2063,3858,2,2010
236,Con cobertura,11,1689,3492,2,2010
237,Con cobertura,12,1809,3570,2,2010
238,Con cobertura,13,1662,3607,2,2010
239,Con cobertura,14,2065,3997,2,2010
240,Con cobertura,15,1818,3948,2,2010
241,Con cobertura,16,1844,3863,2,2010
242,Con cobertura,17,1968,4043,2,2010
243,Con cobertura,18,2323,4408,2,2010
244,Con cobertura,19,2630,5218,2,2010
245,Con cobertura,20,2598,5100,2,2010
246,Con cobertura,21,2982,5681,2,2010
247,Con cobertura,22,3085,5666,2,2010
248,Con cobertura,23,3026,6042,2,2010
249,Con cobertura,24,3544,6126,2,2010
250,Con cobertura,25,3592,6645,2,2010
251,Con cobertura,26,3904,7047,2,2010
252,Con cobertura,27,3157,5965,2,2010
253,Con cobertura,28,3365,6156,2,2010
254,Con cobertura,29,3372,5986,2,2010
255,Con cobertura,30,3476,6350,2,2010
256,Con cobertura,31,3573,6500,2,2010
257,Con cobertura,32,3385,6348,2,2010
258,Con cobertura,33,3688,6798,2,2010
259,Con cobertura,34,3522,6641,2,2010
260,Con cobertura,35,3779,6930,2,2010
261,Con cobertura,36,2969,6130,2,2010
262,Con cobertura,37,3163,6048,2,2010
263,Con cobertura,38,3063,5589,2,2010
264,Con cobertura,39,3035,5719,2,2010
265,Con cobertura,40,2925,5602,2,2010
266,Con cobertura,41,2420,5033,2,2010
267,Con cobertura,42,2581,4946,2,2010
268,Con cobertura,43,3153,5556,2,2010
269,Con cobertura,44,2992,5304,2,2010
270,Con cobertura,45,2733,5236,2,2010
271,Con cobertura,46,2929,5214,2,2010
272,Con cobertura,47,2891,5309,2,2010
273,Con cobertura,48,2637,4999,2,2010
274,Con cobertura,49,2925,5415,2,2010
275,Con cobertura,50,3166,5820,2,2010
276,Con cobertura,51,2872,5409,2,2010
277,Con cobertura,52,2889,5222,2,2010
278,Con cobertura,53,2933,5543,2,2010
279,Con cobertura,54,3102,5518,2,2010
280,Con cobertura,55,3343,6114,2,2010
281,Con cobertura,56,2894,5517,2,2010
282,Con cobertura,57,2941,5240,2,2010
283,Con cobertura,58,3302,5570,2,2010
284,Con cobertura,59,3523,6034,2,2010
285,Con cobertura,60,3856,6762,2,2010
286,Con cobertura,61,3162,5665,2,2010
287,Con cobertura,62,3183,6015,2,2010
288,Con cobertura,63,2931,5447,2,2010
289,Con cobertura,64,3250,5866,2,2010
290,Con cobertura,65,3169,5516,2,2010
291,Con cobertura,66,2958,5180,2,2010
292,Con cobertura,67,2696,4732,2,2010
293,Con cobertura,68,2432,4320,2,2010
294,Con cobertura,69,2137,3696,2,2010
295,Con cobertura,70,2489,4176,2,2010
296,Con cobertura,71,1901,3500,2,2010
297,Con cobertura,72,1882,3315,2,2010
298,Con cobertura,73,1983,3340,2,2010
299,Con cobertura,74,1961,3115,2,2010
300,Con cobertura,75,1923,3193,2,2010
301,Con cobertura,76,1614,2262,2,2010
302,Con cobertura,77,1444,2578,2,2010
303,Con cobertura,78,1602,2621,2,2010
304,Con cobertura,79,1778,2808,2,2010
305,Con cobertura,80,1861,2738,2,2010
306,Con cobertura,81,1459,2250,2,2010
307,Con cobertura,82,1463,2413,2,2010
308,Con cobertura,83,1400,2034,2,2010
309,Con cobertura,84,1232,1880,2,2010
310,Con cobertura,85,1349,2076,2,2010
311,Con cobertura,86,947,1342,2,2010
312,Con cobertura,87,842,1192,2,2010
313,Con cobertura,88,812,1162,2,2010
314,Con cobertura,89,574,796,2,2010
315,Con cobertura,90,567,772,2,2010
316,Con cobertura,91,218,334,2,2010
317,Con cobertura,92,302,446,2,2010
318,Con cobertura,93,304,387,2,2010
319,Con cobertura,94,151,204,2,2010
320,Con cobertura,95,197,211,2,2010
321,Con cobertura,96,117,167,2,2010
322,Con cobertura,97,50,51,2,2010
323,Con cobertura,98,28,48,2,2010
324,Con cobertura,99,50,53,2,2010
325,Con cobertura,100,14,16,2,2010
326,Con cobertura,101,3,4,2,2010
327,Con cobertura,102,11,11,2,2010
328,Con cobertura,103,2,2,2,2010
329,Con cobertura,104,11,11,2,2010
330,Con cobertura,105,2,2,2,2010
331,Con cobertura,106,12,12,2,2010
332,Con cobertura,107,3,3,2,2010
335,Con cobertura,0,213,498,2,2010
336,Con cobertura,1,325,720,2,2010
337,Con cobertura,2,274,661,2,2010
338,Con cobertura,3,328,605,2,2010
339,Con cobertura,4,279,651,2,2010
340,Con cobertura,5,353,649,2,2010
341,Con cobertura,6,295,568,2,2010
342,Con cobertura,7,305,588,2,2010
343,Con cobertura,8,321,569,2,2010
344,Con cobertura,9,361,747,2,2010
345,Con cobertura,10,288,595,2,2010
346,Con cobertura,11,324,746,2,2010
347,Con cobertura,12,380,782,2,2010
348,Con cobertura,13,421,809,2,2010
349,Con cobertura,14,356,763,2,2010
350,Con cobertura,15,445,863,2,2010
351,Con cobertura,16,337,643,2,2010
352,Con cobertura,17,382,758,2,2010
353,Con cobertura,18,440,886,2,2010
354,Con cobertura,19,390,765,2,2010
355,Con cobertura,20,348,619,2,2010
356,Con cobertura,21,402,810,2,2010
357,Con cobertura,22,437,823,2,2010
358,Con cobertura,23,412,661,2,2010
359,Con cobertura,24,337,628,2,2010
360,Con cobertura,25,289,516,2,2010
361,Con cobertura,26,328,606,2,2010
362,Con cobertura,27,350,669,2,2010
363,Con cobertura,28,340,617,2,2010
364,Con cobertura,29,313,492,2,2010
365,Con cobertura,30,291,524,2,2010
366,Con cobertura,31,288,660,2,2010
367,Con cobertura,32,296,501,2,2010
368,Con cobertura,33,284,467,2,2010
369,Con cobertura,34,373,567,2,2010
370,Con cobertura,35,302,482,2,2010
371,Con cobertura,36,293,590,2,2010
372,Con cobertura,37,437,594,2,2010
373,Con cobertura,38,239,496,2,2010
374,Con cobertura,39,168,426,2,2010
375,Con cobertura,40,288,520,2,2010
376,Con cobertura,41,347,486,2,2010
377,Con cobertura,42,338,507,2,2010
378,Con cobertura,43,256,430,2,2010
379,Con cobertura,44,328,511,2,2010
380,Con cobertura,45,444,673,2,2010
381,Con cobertura,46,266,534,2,2010
382,Con cobertura,47,458,665,2,2010
383,Con cobertura,48,296,498,2,2010
384,Con cobertura,49,446,625,2,2010
385,Con cobertura,50,366,626,2,2010
386,Con cobertura,51,334,542,2,2010
387,Con cobertura,52,266,493,2,2010
388,Con cobertura,53,398,620,2,2010
389,Con cobertura,54,329,558,2,2010
390,Con cobertura,55,339,528,2,2010
391,Con cobertura,56,281,435,2,2010
392,Con cobertura,57,279,491,2,2010
393,Con cobertura,58,306,538,2,2010
394,Con cobertura,59,473,733,2,2010
395,Con cobertura,60,263,525,2,2010
396,Con cobertura,61,257,455,2,2010
397,Con cobertura,62,227,485,2,2010
398,Con cobertura,63,169,412,2,2010
399,Con cobertura,64,82,257,2,2010
400,Con cobertura,65,117,296,2,2010
401,Con cobertura,66,85,204,2,2010
402,Con cobertura,67,108,176,2,2010
403,Con cobertura,68,94,161,2,2010
404,Con cobertura,69,116,167,2,2010
405,Con cobertura,70,92,135,2,2010
406,Con cobertura,71,114,210,2,2010
407,Con cobertura,72,96,183,2,2010
408,Con cobertura,73,77,127,2,2010
409,Con cobertura,74,97,150,2,2010
410,Con cobertura,75,106,112,2,2010
411,Con cobertura,76,138,187,2,2010
412,Con cobertura,77,138,215,2,2010
413,Con cobertura,78,214,261,2,2010
414,Con cobertura,79,49,137,2,2010
415,Con cobertura,80,143,198,2,2010
416,Con cobertura,81,92,120,2,2010
417,Con cobertura,82,146,191,2,2010
418,Con cobertura,83,83,98,2,2010
419,Con cobertura,84,62,85,2,2010
420,Con cobertura,85,52,84,2,2010
421,Con cobertura,86,19,41,2,2010
422,Con cobertura,87,38,50,2,2010
423,Con cobertura,88,54,95,2,2010
424,Con cobertura,89,20,32,2,2010
425,Con cobertura,90,29,29,2,2010
426,Con cobertura,91,10,32,2,2010
427,Con cobertura,92,15,18,2,2010
428,Con cobertura,93,6,16,2,2010
429,Con cobertura,94,8,9,2,2010
430,Con cobertura,95,15,25,2,2010
431,Con cobertura,96,10,10,2,2010
432,Con cobertura,97,1,2,2,2010
433,Con cobertura,98,1,1,2,2010
434,Con cobertura,99,0,1,2,2010
435,Con cobertura,100,14,14,2,2010
436,Con cobertura,101,1,1,2,2010
439,Sin cobertura,0,4539,9151,2,2010
440,Sin cobertura,1,4083,8525,2,2010
441,Sin cobertura,2,3974,8058,2,2010
442,Sin cobertura,3,3848,7904,2,2010
443,Sin cobertura,4,3828,7936,2,2010
444,Sin cobertura,5,3623,7101,2,2010
445,Sin cobertura,6,3356,6836,2,2010
446,Sin cobertura,7,3422,7170,2,2010
447,Sin cobertura,8,3347,7019,2,2010
448,Sin cobertura,9,3464,7265,2,2010
449,Sin cobertura,10,3325,7199,2,2010
450,Sin cobertura,11,3425,6934,2,2010
451,Sin cobertura,12,3599,7332,2,2010
452,Sin cobertura,13,3439,6720,2,2010
453,Sin cobertura,14,3751,7551,2,2010
454,Sin cobertura,15,3715,7560,2,2010
455,Sin cobertura,16,3702,7420,2,2010
456,Sin cobertura,17,4054,8009,2,2010
457,Sin cobertura,18,4764,9494,2,2010
458,Sin cobertura,19,5512,10362,2,2010
459,Sin cobertura,20,6217,11926,2,2010
460,Sin cobertura,21,6666,12750,2,2010
461,Sin cobertura,22,6448,13100,2,2010
462,Sin cobertura,23,6257,12657,2,2010
463,Sin cobertura,24,6418,12915,2,2010
464,Sin cobertura,25,6379,12915,2,2010
465,Sin cobertura,26,5861,12155,2,2010
466,Sin cobertura,27,5621,11526,2,2010
467,Sin cobertura,28,5925,11771,2,2010
468,Sin cobertura,29,5326,11077,2,2010
469,Sin cobertura,30,5133,10924,2,2010
470,Sin cobertura,31,4858,9568,2,2010
471,Sin cobertura,32,4450,9503,2,2010
472,Sin cobertura,33,4789,9492,2,2010
473,Sin cobertura,34,4221,8374,2,2010
474,Sin cobertura,35,4462,8928,2,2010
475,Sin cobertura,36,4185,8452,2,2010
476,Sin cobertura,37,3821,7865,2,2010
477,Sin cobertura,38,3681,7290,2,2010
478,Sin cobertura,39,3763,7055,2,2010
479,Sin cobertura,40,3841,7466,2,2010
480,Sin cobertura,41,3515,6614,2,2010
481,Sin cobertura,42,3428,6675,2,2010
482,Sin cobertura,43,2990,6253,2,2010
483,Sin cobertura,44,2856,5780,2,2010
484,Sin cobertura,45,3067,5951,2,2010
485,Sin cobertura,46,2993,5930,2,2010
486,Sin cobertura,47,2724,5653,2,2010
487,Sin cobertura,48,2882,5388,2,2010
488,Sin cobertura,49,3085,5898,2,2010
489,Sin cobertura,50,3568,6598,2,2010
490,Sin cobertura,51,3275,5619,2,2010
491,Sin cobertura,52,2838,5552,2,2010
492,Sin cobertura,53,2864,5056,2,2010
493,Sin cobertura,54,2841,5254,2,2010
494,Sin cobertura,55,2641,5129,2,2010
495,Sin cobertura,56,2851,5210,2,2010
496,Sin cobertura,57,2468,4828,2,2010
497,Sin cobertura,58,2630,4842,2,2010
498,Sin cobertura,59,2286,4177,2,2010
499,Sin cobertura,60,2588,4792,2,2010
500,Sin cobertura,61,1463,3431,2,2010
501,Sin cobertura,62,1308,2974,2,2010
502,Sin cobertura,63,1151,2890,2,2010
503,Sin cobertura,64,823,2541,2,2010
504,Sin cobertura,65,791,2303,2,2010
505,Sin cobertura,66,591,1425,2,2010
506,Sin cobertura,67,551,1199,2,2010
507,Sin cobertura,68,516,1037,2,2010
508,Sin cobertura,69,376,718,2,2010
509,Sin cobertura,70,530,927,2,2010
510,Sin cobertura,71,318,514,2,2010
511,Sin cobertura,72,271,539,2,2010
512,Sin cobertura,73,229,461,2,2010
513,Sin cobertura,74,277,481,2,2010
