,departamento_id,departamento_nombre,provincia_id
11420,357,GENERAL PUEYRREDÓN,6
11421,2,COMUNA 2,2
11422,2,COMUNA 2,2
11423,98,RÍO CUARTO,14
11424,98,RÍO CUARTO,14
11425,84,CAPITAL,90
11426,63,RAMÓN LISTA,34
11427,2,COMUNA 2,2
11428,147,SANTA MARÍA,14
11429,5,COMUNA 5,2
11430,2,COMUNA 2,2
11431,42,GENERAL SAN MARTÍN,14
11432,70,MAIPÚ,50
11433,28,GUAYMALLÉN,50
11434,84,ROSARIO,82
11435,63,CHOYA,86
11436,98,JUAN F. IBARRA,86
11437,77,GENERAL TABOADA,86
11438,49,CAPITAL,86
11439,182,SARMIENTO,86
11440,21,ATAMISQUI,86
11441,42,BELGRANO,86
11442,56,COPO,86
11443,63,CHOYA,86
11444,161,ROBLES,86
11445,35,BANDA,86
11446,98,JUAN F. IBARRA,86
11447,119,MORENO,86
11448,168,SALAVINA,86
11449,14,ALBERDI,86
11450,63,CHOYA,86
11451,105,LORETO,86
11452,49,CAPITAL,86
11453,49,CAPITAL,86
11454,161,ROBLES,86
11455,105,TAFÍ VIEJO,90
11456,84,CAPITAL,90
11457,14,CRUZ ALTA,90
11458,84,CAPITAL,90
11459,84,CAPITAL,90
11460,84,CAPITAL,90
11461,84,CAPITAL,90
11462,84,CAPITAL,90
11463,21,CHICLIGASTA,90
11464,84,CAPITAL,90
11465,1,COMUNA 1,2
11466,35,CONHELO,42
11467,2,COMUNA 2,2
11468,357,GENERAL PUEYRREDÓN,6
11469,357,GENERAL PUEYRREDÓN,6
11470,357,GENERAL PUEYRREDÓN,6
11471,357,GENERAL PUEYRREDÓN,6
11472,357,GENERAL PUEYRREDÓN,6
11473,357,GENERAL PUEYRREDÓN,6
11474,357,GENERAL PUEYRREDÓN,6
11475,357,GENERAL PUEYRREDÓN,6
11476,357,GENERAL PUEYRREDÓN,6
11477,182,UNIÓN,14
11478,175,TULUMBA,14
11479,7,BERMEJO,34
11480,7,BERMEJO,34
11481,7,BERMEJO,34
11482,7,BERMEJO,34
11483,7,BERMEJO,34
11484,28,MATACOS,34
11485,7,BERMEJO,34
11486,7,BERMEJO,34
11487,98,RÍO CUARTO,14
11488,3,COMUNA 3,2
11489,147,SANTA MARÍA,14
11490,35,PATIÑO,34
11491,35,PATIÑO,34
11492,35,PATIÑO,34
11493,35,PATIÑO,34
11494,35,PATIÑO,34
11495,63,RAMÓN LISTA,34
11496,35,PATIÑO,34
11497,63,RAMÓN LISTA,34
11498,84,CAPITAL,90
11499,56,PIRANÉ,34
11500,63,RAMÓN LISTA,34
11501,56,PIRANÉ,34
11502,49,PILCOMAYO,34
11503,105,MARACÓ,42
11504,105,MARACÓ,42
11505,105,MARACÓ,42
11506,77,HUCAL,42
11507,21,CAPITAL,42
11508,434,LANÚS,6
11509,539,MERLO,6
11510,2,COMUNA 2,2
11511,2,COMUNA 2,2
11512,6,COMUNA 6,2
11513,2,COMUNA 2,2
11514,357,GENERAL PUEYRREDÓN,6
11515,35,PATIÑO,34
11516,49,PILCOMAYO,34
11517,2,COMUNA 2,2
11518,2,COMUNA 2,2
11519,56,PIRANÉ,34
11520,2,COMUNA 2,2
11521,14,COMUNA 14,2
11522,13,COMUNA 13,2
11523,140,SAN JUSTO,14
11524,2,COMUNA 2,2
11525,3,COMUNA 3,2
11526,3,COMUNA 3,2
11527,2,COMUNA 2,2
11528,7,COMUNA 7,2
11529,133,SAN JAVIER,14
11530,84,ROSARIO,82
11531,5,COMUNA 5,2
11532,35,BANDA,86
11533,49,CAPITAL,86
11534,49,CAPITAL,86
11535,119,MORENO,86
11536,119,MORENO,86
11537,147,RÍO HONDO,86
11538,49,CAPITAL,86
11539,49,CAPITAL,86
11540,49,CAPITAL,86
11541,49,CAPITAL,86
11542,91,JIMÉNEZ,86
11543,49,CAPITAL,86
11544,56,COPO,86
11545,126,OJO DE AGUA,86
11546,133,PELLEGRINI,86
11547,35,BANDA,86
11548,56,COPO,86
11549,35,BANDA,86
11550,2,COMUNA 2,2
11551,14,COMUNA 14,2
11552,2,COMUNA 2,2
11553,5,COMUNA 5,2
11554,154,UTRACÁN,42
11555,277,FLORENTINO AMEGHINO,6
11556,294,GENERAL ARENALES,6
11557,70,BARADERO,6
11558,105,MARACÓ,42
11559,77,ARRECIFES,6
11560,868,VILLA GESELL ,6
11561,357,GENERAL PUEYRREDÓN,6
11562,357,GENERAL PUEYRREDÓN,6
11563,357,GENERAL PUEYRREDÓN,6
11564,357,GENERAL PUEYRREDÓN,6
11565,357,GENERAL PUEYRREDÓN,6
11566,581,NECOCHEA,6
11567,357,GENERAL PUEYRREDÓN,6
11568,357,GENERAL PUEYRREDÓN,6
11569,357,GENERAL PUEYRREDÓN,6
11570,63,BALCARCE,6
11571,581,NECOCHEA,6
11572,357,GENERAL PUEYRREDÓN,6
11573,357,GENERAL PUEYRREDÓN,6
11574,2,COMUNA 2,2
11575,5,COMUNA 5,2
11576,658,QUILMES,6
11577,49,PILCOMAYO,34
11578,56,JUÁREZ CELMAN,14
11579,119,RÍO SEGUNDO,14
11580,175,TULUMBA,14
11581,98,RÍO CUARTO,14
11582,2,COMUNA 2,2
11583,14,COMUNA 14,2
11584,182,UNIÓN,14
11585,5,COMUNA 5,2
11586,182,UNIÓN,14
11587,98,RÍO CUARTO,14
11588,98,RÍO CUARTO,14
11589,105,RÍO PRIMERO,14
11590,161,TERCERO ARRIBA,14
11591,161,TERCERO ARRIBA,14
11592,161,TERCERO ARRIBA,14
11593,161,TERCERO ARRIBA,14
11594,161,TERCERO ARRIBA,14
11595,161,TERCERO ARRIBA,14
11596,161,TERCERO ARRIBA,14
11597,161,TERCERO ARRIBA,14
11598,161,TERCERO ARRIBA,14
11599,161,TERCERO ARRIBA,14
11600,4,COMUNA 4,2
11601,147,SANTA MARÍA,14
11602,13,COMUNA 13,2
11603,2,COMUNA 2,2
11604,13,COMUNA 13,2
11605,1,COMUNA 1,2
11606,1,COMUNA 1,2
11607,2,COMUNA 2,2
11608,2,COMUNA 2,2
11609,119,MORENO,86
11610,371,GENERAL SAN MARTÍN,6
11611,56,COPO,86
11612,147,RÍO HONDO,86
11613,861,VICENTE LÓPEZ,6
11614,805,TIGRE,6
11615,756,SAN ISIDRO,6
11616,760,SAN MIGUEL,6
11617,560,MORENO,6
11618,861,VICENTE LÓPEZ,6
11619,252,ESCOBAR,6
11620,861,VICENTE LÓPEZ,6
11621,21,CAPITAL,42
11622,434,LANÚS,6
11623,371,GENERAL SAN MARTÍN,6
11624,434,LANÚS,6
11625,35,AVELLANEDA,6
11626,35,AVELLANEDA,6
11627,35,AVELLANEDA,6
11628,21,CAPITAL,42
11629,11,COMUNA 11,2
11630,427,LA MATANZA,6
11631,399,GUAMINÍ,6
11632,840,TRES DE FEBRERO,6
11633,539,MERLO,6
11634,56,COPO,86
11635,35,BANDA,86
11636,21,ATAMISQUI,86
11637,35,BANDA,86
11638,133,ZONDA,70
11639,126,OJO DE AGUA,86
11640,14,ALBERDI,86
11641,35,BANDA,86
11642,70,FIGUEROA,86
11643,133,PELLEGRINI,86
11644,133,PELLEGRINI,86
11645,168,SALAVINA,86
11646,119,MORENO,86
11647,133,PELLEGRINI,86
11648,133,PELLEGRINI,86
11649,119,MORENO,86
11650,119,MORENO,86
11651,168,SALAVINA,86
11652,105,LORETO,86
11653,175,SAN MARTÍN,86
11654,42,BELGRANO,86
11655,35,BANDA,86
11656,7,CAPITAL,50
11657,7,CAPITAL,50
11658,70,MAIPÚ,50
11659,98,SAN IGNACIO,54
11660,427,LA MATANZA,6
11661,539,MERLO,6
11662,497,LUJÁN,6
11663,497,LUJÁN,6
11664,497,LUJÁN,6
11665,364,GENERAL RODRÍGUEZ,6
11666,539,MERLO,6
11667,427,LA MATANZA,6
11668,427,LA MATANZA,6
11669,427,LA MATANZA,6
11670,357,GENERAL PUEYRREDÓN,6
11671,791,TANDIL,6
11672,707,SALADILLO,6
11673,854,25 DE MAYO,6
11674,224,CHIVILCOY,6
11675,707,SALADILLO,6
11676,760,SAN MIGUEL,6
11677,805,TIGRE,6
11678,2,COMUNA 2,2
11679,9,COMUNA 9,2
11680,11,COMUNA 11,2
11681,11,COMUNA 11,2
11682,13,COMUNA 13,2
11683,3,COMUNA 3,2
11684,2,COMUNA 2,2
11685,13,COMUNA 13,2
11686,3,COMUNA 3,2
11687,679,RIVADAVIA,6
11688,455,LAS FLORES,6
11689,13,COMUNA 13,2
11690,105,MARACÓ,42
11691,833,TRES ARROYOS,6
11692,826,TRENQUE LAUQUEN,6
11693,679,RIVADAVIA,6
11694,63,BALCARCE,6
11695,392,GENERAL VILLEGAS,6
11696,826,TRENQUE LAUQUEN,6
11697,581,NECOCHEA,6
11698,427,LA MATANZA,6
11699,840,TRES DE FEBRERO,6
11700,568,MORÓN,6
11701,434,LANÚS,6
11702,490,LOMAS DE ZAMORA,6
11703,28,ALMIRANTE BROWN,6
11704,35,PATIÑO,34
11705,35,PATIÑO,34
11706,35,PATIÑO,34
11707,10,COMUNA 10,2
11708,140,SAN JUSTO,14
11709,2,COMUNA 2,2
11710,49,PILCOMAYO,34
11711,49,PILCOMAYO,34
11712,49,PILCOMAYO,34
11713,49,PILCOMAYO,34
11714,49,PILCOMAYO,34
11715,42,PILAGÁS,34
11716,63,RAMÓN LISTA,34
11717,42,PILAGÁS,34
11718,42,PILAGÁS,34
11719,35,PATIÑO,34
11720,35,PATIÑO,34
11721,35,PATIÑO,34
11722,35,PATIÑO,34
11723,35,PATIÑO,34
11724,56,PIRANÉ,34
11725,56,PIRANÉ,34
11726,455,LAS FLORES,6
11727,49,AZUL,6
11728,638,PILAR,6
11729,756,SAN ISIDRO,6
11730,4,COMUNA 4,2
11731,21,CAPITAL,42
11732,490,LOMAS DE ZAMORA,6
11733,434,LANÚS,6
11734,408,HURLINGHAM,6
11735,638,PILAR,6
11736,490,LOMAS DE ZAMORA,6
11737,357,GENERAL PUEYRREDÓN,6
11738,427,LA MATANZA,6
11739,441,LA PLATA,6
11740,427,LA MATANZA,6
11741,134,CAÑUELAS,6
11742,1,COMUNA 1,2
11743,1,COMUNA 1,2
11744,7,CAPITAL,50
11745,63,RAMÓN LISTA,34
11746,35,PATIÑO,34
11747,35,PATIÑO,34
11748,35,PATIÑO,34
11749,161,TERCERO ARRIBA,14
11750,147,SANTA MARÍA,14
11751,6,COMUNA 6,2
11752,14,COMUNA 14,2
11753,13,COMUNA 13,2
11754,14,COMUNA 14,2
11755,15,COMUNA 15,2
11756,2,COMUNA 2,2
11757,56,PIRANÉ,34
11758,56,PIRANÉ,34
11759,119,RÍO SEGUNDO,14
11760,14,ALBERDI,86
11761,175,SAN MARTÍN,86
11762,91,JIMÉNEZ,86
11763,98,JUAN F. IBARRA,86
11764,140,SAN FERNANDO,22
11765,49,CAPITAL,86
11766,70,FIGUEROA,86
11767,133,PELLEGRINI,86
11768,119,MORENO,86
11769,119,MORENO,86
11770,21,ATAMISQUI,86
11771,175,SAN MARTÍN,86
11772,77,GENERAL TABOADA,86
11773,189,SILÍPICA,86
11774,77,GENERAL TABOADA,86
11775,105,LORETO,86
11776,140,QUEBRACHOS,86
11777,133,PELLEGRINI,86
11778,84,GUASAYÁN,86
11779,161,ROBLES,86
11780,28,AVELLANEDA,86
11781,791,TANDIL,6
11782,539,MERLO,6
11783,840,TRES DE FEBRERO,6
11784,568,MORÓN,6
11785,427,LA MATANZA,6
11786,13,COMUNA 13,2
11787,1,COMUNA 1,2
11788,392,GENERAL VILLEGAS,6
11789,13,COMUNA 13,2
11790,515,MALVINAS ARGENTINAS,6
11791,413,JUNÍN,6
11792,805,TIGRE,6
11793,515,MALVINAS ARGENTINAS,6
11794,760,SAN MIGUEL,6
11795,14,COMUNA 14,2
11796,14,COMUNA 14,2
11797,560,MORENO,6
11798,2,COMUNA 2,2
11799,7,COMUNA 7,2
11800,749,SAN FERNANDO,6
11801,11,COMUNA 11,2
11802,14,COMUNA 14,2
11803,515,MALVINAS ARGENTINAS,6
11804,658,QUILMES,6
11805,490,LOMAS DE ZAMORA,6
11806,98,SAN MARTÍN,50
11807,658,QUILMES,6
11808,35,AVELLANEDA,6
11809,56,PIRANÉ,34
11810,14,FORMOSA,34
11811,7,COMUNA 7,2
11812,2,COMUNA 2,2
11813,2,COMUNA 2,2
11814,1,COMUNA 1,2
11815,13,COMUNA 13,2
11816,3,COMUNA 3,2
11817,2,COMUNA 2,2
11818,140,SAN JUSTO,14
11819,14,COMUNA 14,2
11820,140,SAN JUSTO,14
11821,9,COMUNA 9,2
11822,140,SAN JUSTO,14
11823,140,SAN JUSTO,14
11824,1,COMUNA 1,2
11825,3,COMUNA 3,2
11826,6,COMUNA 6,2
11827,133,SAN JAVIER,14
11828,133,SAN JAVIER,14
11829,133,SAN JAVIER,14
11830,3,COMUNA 3,2
11831,133,SAN JAVIER,14
11832,133,SAN JAVIER,14
11833,133,SAN JAVIER,14
