,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
3980,30,Múltiple,Varón,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
3981,2,Simple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2622,2022
3982,50,Simple,Varón,20 a 24,22 a 23,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
3983,22,Simple,Varón,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
3984,14,Simple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1936,2022
3985,78,Simple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,74,2022
3986,50,Simple,Mujer,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
3987,38,Simple,Mujer,35 a 39,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
3988,90,Simple,Mujer,20 a 24,Sin especificar,Sin especificar,Menos de 2500 gramos,1,2022
3989,50,Múltiple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
3990,54,Simple,Mujer,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,30,2022
3991,6,Simple,Varón,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
3992,86,Simple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,4,2022
3993,82,Simple,Mujer,25 a 29,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
3994,22,Simple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,18,2022
3995,38,Múltiple,Mujer,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
3996,54,Simple,Varón,Menor de 15,37 a 41,Sin especificar,2500 gramos y más,4,2022
3997,2,Simple,Mujer,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1125,2022
3998,74,Simple,Mujer,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
3999,22,Simple,Varón,15 a 19,37 a 41,Sin especificar,2500 gramos y más,28,2022
4000,22,Simple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,24,2022
4001,54,Múltiple,Mujer,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4002,78,Simple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,173,2022
4003,6,Simple,Mujer,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,8,2022
4004,62,Simple,Varón,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,230,2022
4005,22,Simple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,11,2022
4006,58,Simple,Varón,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,287,2022
4007,74,Simple,Mujer,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
4008,46,Simple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4009,30,Simple,Varón,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,11,2022
4010,26,Múltiple,Varón,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4011,22,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1123,2022
4012,2,Simple,Varón,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,18,2022
4013,82,Simple,Mujer,25 a 29,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4014,22,Simple,Varón,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,9,2022
4015,66,Simple,Varón,20 a 24,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4016,78,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
4017,66,Múltiple,Mujer,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
4018,90,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,19,2022
4019,86,Simple,Varón,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
4020,62,Simple,Mujer,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4021,6,Simple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,29,2022
4022,22,Simple,Varón,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,13,2022
4023,30,Simple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,25,2022
4024,58,Simple,Varón,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
4025,2,Sin especificar,Mujer,35 a 39,32 a 36,Sin especificar,2500 gramos y más,7,2022
4026,50,Simple,Varón,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4027,6,Múltiple,Mujer,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,16,2022
4028,82,Múltiple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
4029,18,Simple,Mujer,40 a 44,32 a 36,Sin especificar,2500 gramos y más,3,2022
4030,66,Simple,Mujer,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,2,2022
4031,38,Múltiple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,8,2022
4032,86,Simple,Mujer,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4033,6,Múltiple,Mujer,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,24,2022
4034,46,Simple,Varón,30 a 34,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4035,82,Múltiple,Varón,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4036,30,Múltiple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4037,18,Simple,Varón,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4038,82,Simple,Mujer,35 a 39,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,11,2022
4039,6,Simple,Mujer,De 45 y más,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
4040,78,Simple,Mujer,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,27,2022
4041,42,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,280,2022
4042,34,Simple,Mujer,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
4043,90,Simple,Mujer,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
4044,70,Simple,Varón,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,12,2022
4045,22,Simple,Mujer,30 a 34,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
4046,30,Simple,Varón,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,338,2022
4047,22,Múltiple,Varón,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,8,2022
4048,90,Simple,Varón,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,1,2022
4049,14,Múltiple,Mujer,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4050,74,Simple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,16,2022
4051,86,Simple,Mujer,15 a 19,42 y más,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4052,90,Múltiple,Varón,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
4053,50,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1029,2022
4054,58,Simple,Mujer,20 a 24,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4055,22,Simple,Mujer,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,7,2022
4056,54,Simple,Mujer,25 a 29,32 a 36,Sin especificar,Menos de 2500 gramos,7,2022
4057,58,Simple,Varón,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4058,6,Simple,Varón,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,69,2022
4059,38,Simple,Mujer,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,72,2022
4060,50,Simple,Mujer,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
4061,58,Simple,Varón,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,7,2022
4062,78,Múltiple,Mujer,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4063,22,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,10,2022
4064,50,Simple,Varón,30 a 34,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4065,82,Simple,Varón,Menor de 15,28 a 31,Sin especificar,Menos de 2500 gramos,1,2022
4066,46,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
4067,30,Múltiple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
4068,86,Simple,Varón,15 a 19,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,5,2022
4069,78,Simple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,16,2022
4070,74,Simple,Mujer,25 a 29,37 a 41,Sin especificar,Sin especificar,1,2022
4071,30,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
4072,54,Múltiple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
4073,18,Simple,Mujer,30 a 34,24 a 27,Sin especificar,Menos de 2500 gramos,2,2022
4074,94,Simple,Mujer,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4075,6,Simple,Varón,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,35,2022
4076,34,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
4077,66,Múltiple,Mujer,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4078,82,Simple,Mujer,20 a 24,32 a 36,Sin especificar,2500 gramos y más,2,2022
4079,22,Múltiple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
4080,2,Simple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
4081,26,Simple,Mujer,25 a 29,28 a 31,Sin especificar,Menos de 2500 gramos,1,2022
4082,6,Simple,Mujer,30 a 34,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
4083,74,Simple,Varón,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,148,2022
4084,90,Simple,Mujer,30 a 34,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,27,2022
4085,18,Simple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,159,2022
4086,46,Simple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
4087,22,Simple,Mujer,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,96,2022
4088,62,Simple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,23,2022
4089,54,Simple,Varón,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4090,34,Simple,Mujer,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,6,2022
4091,50,Múltiple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,12,2022
4092,74,Simple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,36,2022
4093,66,Simple,Mujer,35 a 39,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,15,2022
4094,22,Simple,Mujer,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
4095,22,Múltiple,Mujer,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4096,62,Múltiple,Varón,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4097,66,Simple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,62,2022
4098,82,Simple,Mujer,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,19,2022
4099,86,Simple,Varón,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,20,2022
4100,34,Simple,Mujer,20 a 24,32 a 36,Sin especificar,2500 gramos y más,13,2022
4101,62,Simple,Mujer,20 a 24,32 a 36,Sin especificar,2500 gramos y más,3,2022
4102,78,Simple,Varón,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,7,2022
4103,90,Múltiple,Mujer,20 a 24,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4104,34,Simple,Varón,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,6,2022
4105,99,Simple,Varón,35 a 39,37 a 41,Sin especificar,2500 gramos y más,2,2022
4106,46,Simple,Mujer,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4107,54,Múltiple,Mujer,30 a 34,32 a 36,Sin especificar,2500 gramos y más,2,2022
4108,62,Simple,Mujer,30 a 34,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4109,6,Simple,Sin especificar,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4110,86,Simple,Varón,30 a 34,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
4111,82,Simple,Varón,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,9,2022
4112,46,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
4113,18,Múltiple,Mujer,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4114,62,Simple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
4115,26,Simple,Mujer,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4116,6,Simple,Varón,40 a 44,42 y más,Secundario/Polimodal Completa y más,Sin especificar,1,2022
4117,22,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,9,2022
4118,30,Simple,Varón,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
4119,34,Simple,Varón,40 a 44,32 a 36,Sin especificar,Menos de 2500 gramos,3,2022
4120,99,Sin especificar,Varón,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,7,2022
4121,14,Múltiple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
4122,14,Simple,Varón,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,300,2022
4123,26,Múltiple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6,2022
4124,30,Simple,Mujer,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
4125,90,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1096,2022
4126,54,Simple,Varón,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,8,2022
4127,90,Múltiple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,3,2022
4128,30,Simple,Mujer,40 a 44,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
4129,70,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
4130,82,Simple,Varón,30 a 34,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4131,18,Simple,Mujer,25 a 29,37 a 41,Sin especificar,2500 gramos y más,340,2022
4132,70,Simple,Mujer,30 a 34,Menos de 22,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4133,6,Simple,Varón,Sin especificar,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,4,2022
4134,58,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5,2022
4135,22,Simple,Mujer,25 a 29,42 y más,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4136,82,Simple,Mujer,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,664,2022
4137,2,Simple,Varón,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,65,2022
4138,46,Simple,Mujer,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
4139,82,Múltiple,Mujer,15 a 19,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
4140,82,Múltiple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,11,2022
4141,90,Simple,Mujer,35 a 39,42 y más,Sin especificar,2500 gramos y más,1,2022
4142,34,Simple,Mujer,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
4143,78,Simple,Varón,Menor de 15,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
4144,22,Simple,Mujer,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,6,2022
4145,22,Simple,Varón,25 a 29,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
4146,26,Simple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4147,6,Simple,Mujer,25 a 29,Sin especificar,Sin especificar,Sin especificar,139,2022
4148,94,Simple,Mujer,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,34,2022
4149,2,Sin especificar,Mujer,30 a 34,42 y más,Sin especificar,2500 gramos y más,1,2022
4150,42,Simple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
4151,34,Múltiple,Mujer,30 a 34,32 a 36,Sin especificar,2500 gramos y más,1,2022
4152,38,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,15,2022
4153,6,Múltiple,Varón,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,6,2022
4154,2,Simple,Mujer,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
4155,90,Múltiple,Mujer,30 a 34,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
4156,90,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1315,2022
4157,6,Simple,Mujer,40 a 44,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,28,2022
4158,22,Simple,Varón,25 a 29,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,6,2022
4159,46,Simple,Mujer,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6,2022
4160,26,Simple,Mujer,40 a 44,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
4161,2,Sin especificar,Mujer,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,5,2022
4162,14,Múltiple,Varón,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
4163,14,Simple,Varón,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,79,2022
4164,34,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,7,2022
4165,22,Simple,Mujer,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4166,30,Simple,Mujer,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4167,6,Múltiple,Mujer,25 a 29,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
4168,14,Simple,Mujer,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
4169,66,Múltiple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
4170,99,Simple,Varón,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
4171,6,Simple,Mujer,Sin especificar,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4172,78,Simple,Mujer,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4173,30,Múltiple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,9,2022
4174,6,Simple,Varón,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,3,2022
4175,50,Simple,Varón,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
4176,46,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
4177,14,Simple,Varón,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,1,2022
4178,74,Múltiple,Varón,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4179,14,Simple,Varón,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
4180,34,Simple,Varón,30 a 34,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4181,18,Simple,Mujer,40 a 44,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4182,42,Simple,Varón,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,10,2022
4183,82,Simple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,16,2022
4184,50,Simple,Varón,40 a 44,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3,2022
4185,66,Simple,Mujer,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,23,2022
4186,6,Simple,Varón,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
4187,18,Simple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,30,2022
4188,86,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,413,2022
4189,6,Simple,Mujer,15 a 19,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
4190,2,Simple,Varón,20 a 24,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,20,2022
4191,82,Múltiple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,3,2022
4192,66,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,1,2022
4193,22,Simple,Mujer,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,22,2022
4194,38,Simple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4195,58,Simple,Varón,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
4196,38,Simple,Mujer,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4197,38,Simple,Mujer,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4198,90,Múltiple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
4199,66,Simple,Varón,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
4200,58,Múltiple,Varón,25 a 29,32 a 36,Sin especificar,Menos de 2500 gramos,2,2022
4201,6,Simple,Mujer,Sin especificar,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
4202,70,Múltiple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
4203,26,Múltiple,Mujer,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4204,62,Simple,Varón,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
4205,50,Múltiple,Mujer,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,1,2022
4206,6,Simple,Mujer,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2641,2022
4207,82,Múltiple,Varón,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4208,6,Múltiple,Varón,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,16,2022
4209,34,Múltiple,Mujer,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
4210,2,Simple,Mujer,20 a 24,37 a 41,Sin especificar,2500 gramos y más,42,2022
4211,2,Sin especificar,Varón,35 a 39,37 a 41,Sin especificar,Menos de 2500 gramos,3,2022
4212,50,Simple,Mujer,35 a 39,22 a 23,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
4213,90,Simple,Mujer,40 a 44,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
4214,86,Simple,Mujer,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,29,2022
4215,99,Simple,Sin especificar,Sin especificar,42 y más,Sin especificar,2500 gramos y más,1,2022
4216,46,Simple,Mujer,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10,2022
4217,50,Simple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,8,2022
4218,14,Múltiple,Varón,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,5,2022
4219,14,Simple,Varón,Sin especificar,Sin especificar,Sin especificar,Sin especificar,2,2022
4220,70,Múltiple,Varón,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
4221,90,Simple,Mujer,35 a 39,Sin especificar,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
4222,22,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,1,2022
4223,6,Múltiple,Mujer,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,6,2022
