,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
107,34,Simple,Varón,40 a 44,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
108,18,Simple,Varón,35 a 39,37 a 41,Sin especificar,Menos de 2500 gramos,6,2022
109,90,Simple,Varón,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,14,2022
110,66,Simple,Mujer,Menor de 15,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1,2022
111,82,Simple,Mujer,25 a 29,37 a 41,Sin especificar,2500 gramos y más,24,2022
112,26,Múltiple,Mujer,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
113,14,Simple,Mujer,30 a 34,Sin especificar,Sin especificar,Sin especificar,1,2022
114,99,Simple,Varón,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
115,6,Múltiple,Varón,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,8,2022
116,22,Simple,Varón,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1,2022
117,50,Múltiple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,8,2022
118,90,Simple,Mujer,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,4,2022
119,6,Sin especificar,Mujer,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
120,6,Múltiple,Varón,40 a 44,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
121,99,Simple,Mujer,20 a 24,Sin especificar,Sin especificar,Sin especificar,32,2022
122,6,Simple,Mujer,35 a 39,Sin especificar,Sin especificar,2500 gramos y más,4,2022
123,66,Múltiple,Mujer,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,8,2022
124,34,Simple,Mujer,Menor de 15,37 a 41,Sin especificar,2500 gramos y más,6,2022
125,38,Simple,Mujer,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
126,90,Simple,Mujer,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1014,2022
127,14,Simple,Varón,40 a 44,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
128,26,Simple,Varón,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,17,2022
129,34,Simple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,172,2022
130,70,Múltiple,Varón,35 a 39,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
131,46,Simple,Mujer,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
132,18,Múltiple,Mujer,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
133,78,Simple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
134,34,Simple,Varón,35 a 39,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
135,90,Simple,Varón,Menor de 15,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
136,54,Simple,Varón,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,1,2022
137,86,Simple,Varón,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,24,2022
138,62,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
139,90,Simple,Varón,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,11,2022
140,90,Simple,Mujer,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,13,2022
141,6,Simple,Mujer,40 a 44,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,4,2022
142,82,Simple,Varón,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,1,2022
143,26,Múltiple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
144,30,Simple,Varón,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,5,2022
