,cobertura,edad,varon,mujer,total,provincia
180,Prepaga a través de obra social,63,2692,2470,5162,Ciudad Autónoma de Buenos Aires
181,Prepaga a través de obra social,64,2339,2398,4737,Ciudad Autónoma de Buenos Aires
182,Prepaga a través de obra social,65,2269,2292,4561,Ciudad Autónoma de Buenos Aires
183,Prepaga a través de obra social,66,1804,1877,3681,Ciudad Autónoma de Buenos Aires
184,Prepaga a través de obra social,67,1303,1679,2982,Ciudad Autónoma de Buenos Aires
185,Prepaga a través de obra social,68,1298,1741,3039,Ciudad Autónoma de Buenos Aires
186,Prepaga a través de obra social,69,1190,1418,2608,Ciudad Autónoma de Buenos Aires
187,Prepaga a través de obra social,70,1053,1504,2557,Ciudad Autónoma de Buenos Aires
188,Prepaga a través de obra social,71,1068,1453,2521,Ciudad Autónoma de Buenos Aires
189,Prepaga a través de obra social,72,942,1457,2399,Ciudad Autónoma de Buenos Aires
190,Prepaga a través de obra social,73,841,1179,2020,Ciudad Autónoma de Buenos Aires
191,Prepaga a través de obra social,74,656,1126,1782,Ciudad Autónoma de Buenos Aires
192,Prepaga a través de obra social,75,692,1289,1981,Ciudad Autónoma de Buenos Aires
193,Prepaga a través de obra social,76,716,1076,1792,Ciudad Autónoma de Buenos Aires
194,Prepaga a través de obra social,77,578,1087,1665,Ciudad Autónoma de Buenos Aires
195,Prepaga a través de obra social,78,790,1186,1976,Ciudad Autónoma de Buenos Aires
196,Prepaga a través de obra social,79,625,1224,1849,Ciudad Autónoma de Buenos Aires
197,Prepaga a través de obra social,80,551,1171,1722,Ciudad Autónoma de Buenos Aires
198,Prepaga a través de obra social,81,631,1071,1702,Ciudad Autónoma de Buenos Aires
199,Prepaga a través de obra social,82,422,886,1308,Ciudad Autónoma de Buenos Aires
200,Prepaga a través de obra social,83,419,752,1171,Ciudad Autónoma de Buenos Aires
201,Prepaga a través de obra social,84,328,861,1189,Ciudad Autónoma de Buenos Aires
202,Prepaga a través de obra social,85,412,796,1208,Ciudad Autónoma de Buenos Aires
203,Prepaga a través de obra social,86,358,698,1056,Ciudad Autónoma de Buenos Aires
204,Prepaga a través de obra social,87,288,596,884,Ciudad Autónoma de Buenos Aires
205,Prepaga a través de obra social,88,248,488,736,Ciudad Autónoma de Buenos Aires
206,Prepaga a través de obra social,89,183,425,608,Ciudad Autónoma de Buenos Aires
207,Prepaga a través de obra social,90,180,316,496,Ciudad Autónoma de Buenos Aires
208,Prepaga a través de obra social,91,110,272,382,Ciudad Autónoma de Buenos Aires
209,Prepaga a través de obra social,92,87,238,325,Ciudad Autónoma de Buenos Aires
210,Prepaga a través de obra social,93,25,226,251,Ciudad Autónoma de Buenos Aires
211,Prepaga a través de obra social,94,52,137,189,Ciudad Autónoma de Buenos Aires
212,Prepaga a través de obra social,95,4,104,108,Ciudad Autónoma de Buenos Aires
213,Prepaga a través de obra social,96,45,92,137,Ciudad Autónoma de Buenos Aires
214,Prepaga a través de obra social,97,2,45,47,Ciudad Autónoma de Buenos Aires
215,Prepaga a través de obra social,98,3,36,39,Ciudad Autónoma de Buenos Aires
216,Prepaga a través de obra social,99,1,17,18,Ciudad Autónoma de Buenos Aires
217,Prepaga a través de obra social,100,12,17,29,Ciudad Autónoma de Buenos Aires
218,Prepaga a través de obra social,101,-,4,4,Ciudad Autónoma de Buenos Aires
219,Prepaga a través de obra social,102,-,2,2,Ciudad Autónoma de Buenos Aires
220,Prepaga a través de obra social,103,1,4,5,Ciudad Autónoma de Buenos Aires
221,Prepaga a través de obra social,105,-,1,1,Ciudad Autónoma de Buenos Aires
222,Prepaga a través de obra social,106,1,-,1,Ciudad Autónoma de Buenos Aires
223,Prepaga a través de obra social,108,-,1,1,Ciudad Autónoma de Buenos Aires
225,Prepaga sólo por contratación voluntaria,,Varón,Mujer,Total,Ciudad Autónoma de Buenos Aires
226,Prepaga sólo por contratación voluntaria,0,2467,2390,4857,Ciudad Autónoma de Buenos Aires
227,Prepaga sólo por contratación voluntaria,1,2150,2285,4435,Ciudad Autónoma de Buenos Aires
228,Prepaga sólo por contratación voluntaria,2,2434,2124,4558,Ciudad Autónoma de Buenos Aires
229,Prepaga sólo por contratación voluntaria,3,2208,2103,4311,Ciudad Autónoma de Buenos Aires
230,Prepaga sólo por contratación voluntaria,4,2133,2110,4243,Ciudad Autónoma de Buenos Aires
231,Prepaga sólo por contratación voluntaria,5,2039,2085,4124,Ciudad Autónoma de Buenos Aires
232,Prepaga sólo por contratación voluntaria,6,2094,2271,4365,Ciudad Autónoma de Buenos Aires
233,Prepaga sólo por contratación voluntaria,7,2101,1878,3979,Ciudad Autónoma de Buenos Aires
234,Prepaga sólo por contratación voluntaria,8,2136,1966,4102,Ciudad Autónoma de Buenos Aires
235,Prepaga sólo por contratación voluntaria,9,1848,1888,3736,Ciudad Autónoma de Buenos Aires
236,Prepaga sólo por contratación voluntaria,10,1795,2063,3858,Ciudad Autónoma de Buenos Aires
237,Prepaga sólo por contratación voluntaria,11,1803,1689,3492,Ciudad Autónoma de Buenos Aires
238,Prepaga sólo por contratación voluntaria,12,1761,1809,3570,Ciudad Autónoma de Buenos Aires
239,Prepaga sólo por contratación voluntaria,13,1945,1662,3607,Ciudad Autónoma de Buenos Aires
240,Prepaga sólo por contratación voluntaria,14,1932,2065,3997,Ciudad Autónoma de Buenos Aires
241,Prepaga sólo por contratación voluntaria,15,2130,1818,3948,Ciudad Autónoma de Buenos Aires
242,Prepaga sólo por contratación voluntaria,16,2019,1844,3863,Ciudad Autónoma de Buenos Aires
243,Prepaga sólo por contratación voluntaria,17,2075,1968,4043,Ciudad Autónoma de Buenos Aires
244,Prepaga sólo por contratación voluntaria,18,2085,2323,4408,Ciudad Autónoma de Buenos Aires
245,Prepaga sólo por contratación voluntaria,19,2588,2630,5218,Ciudad Autónoma de Buenos Aires
246,Prepaga sólo por contratación voluntaria,20,2502,2598,5100,Ciudad Autónoma de Buenos Aires
247,Prepaga sólo por contratación voluntaria,21,2699,2982,5681,Ciudad Autónoma de Buenos Aires
248,Prepaga sólo por contratación voluntaria,22,2581,3085,5666,Ciudad Autónoma de Buenos Aires
249,Prepaga sólo por contratación voluntaria,23,3016,3026,6042,Ciudad Autónoma de Buenos Aires
250,Prepaga sólo por contratación voluntaria,24,2582,3544,6126,Ciudad Autónoma de Buenos Aires
251,Prepaga sólo por contratación voluntaria,25,3053,3592,6645,Ciudad Autónoma de Buenos Aires
252,Prepaga sólo por contratación voluntaria,26,3143,3904,7047,Ciudad Autónoma de Buenos Aires
253,Prepaga sólo por contratación voluntaria,27,2808,3157,5965,Ciudad Autónoma de Buenos Aires
254,Prepaga sólo por contratación voluntaria,28,2791,3365,6156,Ciudad Autónoma de Buenos Aires
255,Prepaga sólo por contratación voluntaria,29,2614,3372,5986,Ciudad Autónoma de Buenos Aires
256,Prepaga sólo por contratación voluntaria,30,2874,3476,6350,Ciudad Autónoma de Buenos Aires
257,Prepaga sólo por contratación voluntaria,31,2927,3573,6500,Ciudad Autónoma de Buenos Aires
258,Prepaga sólo por contratación voluntaria,32,2963,3385,6348,Ciudad Autónoma de Buenos Aires
259,Prepaga sólo por contratación voluntaria,33,3110,3688,6798,Ciudad Autónoma de Buenos Aires
260,Prepaga sólo por contratación voluntaria,34,3119,3522,6641,Ciudad Autónoma de Buenos Aires
261,Prepaga sólo por contratación voluntaria,35,3151,3779,6930,Ciudad Autónoma de Buenos Aires
262,Prepaga sólo por contratación voluntaria,36,3161,2969,6130,Ciudad Autónoma de Buenos Aires
263,Prepaga sólo por contratación voluntaria,37,2885,3163,6048,Ciudad Autónoma de Buenos Aires
