,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad
3054,82,2,2,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
3055,78,1,2,15 a 19,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3056,2,1,1,15 a 19,Sin especificar,Sin especificar,Sin especificar,1
3057,34,1,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,19
3058,82,1,2,De 45 y más,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3059,46,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,167
3060,26,1,2,30 a 34,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3061,2,1,2,35 a 39,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3062,2,1,2,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10
3063,2,1,2,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,31
3064,18,2,1,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3065,14,1,1,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,41
3066,46,1,2,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,4
3067,66,1,1,De 45 y más,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3068,30,2,1,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2
3069,6,1,2,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,337
3070,2,1,2,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,2
3071,82,2,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,11
3072,6,1,1,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,46
3073,18,1,2,20 a 24,42 y más,Sin especificar,2500 gramos y más,2
3074,66,1,2,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,10
3075,66,1,2,30 a 34,Sin especificar,Sin especificar,2500 gramos y más,4
3076,50,1,1,25 a 29,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,10
3077,2,1,1,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,3
3078,70,1,1,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,10
3079,10,1,1,25 a 29,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,7
3080,90,2,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10
3081,62,1,1,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,15
3082,30,2,1,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,7
3083,38,2,1,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,6
3084,74,1,1,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3
3085,42,1,1,15 a 19,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3086,50,1,1,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,6
3087,78,1,1,15 a 19,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,3
3088,70,2,2,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,4
3089,18,2,2,30 a 34,37 a 41,Sin especificar,2500 gramos y más,2
3090,6,1,9,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3091,22,1,1,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,12
3092,14,2,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5
3093,82,1,1,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,20
3094,6,2,2,20 a 24,Menos de 22,Hasta Primaria/C.EGB Completa,Sin especificar,1
3095,90,2,1,35 a 39,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2
3096,90,1,2,15 a 19,Sin especificar,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
3097,82,2,2,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,37
3098,70,2,2,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3099,66,1,1,15 a 19,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3100,90,1,1,40 a 44,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3101,66,1,2,Menor de 15,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3102,34,1,1,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,7
3103,50,2,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2
3104,90,1,1,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,13
3105,54,1,1,20 a 24,28 a 31,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3106,14,2,1,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
3107,10,1,2,25 a 29,37 a 41,Sin especificar,2500 gramos y más,51
3108,54,1,2,25 a 29,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,20
3109,82,1,1,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,21
3110,70,1,1,40 a 44,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3111,90,1,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,153
3112,66,1,2,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,223
3113,6,1,1,Sin especificar,42 y más,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3114,42,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3115,18,1,2,20 a 24,37 a 41,Sin especificar,Sin especificar,1
3116,38,1,1,25 a 29,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,10
3117,22,1,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,2
3118,10,2,1,30 a 34,37 a 41,Sin especificar,2500 gramos y más,1
3119,54,1,1,20 a 24,37 a 41,Sin especificar,2500 gramos y más,83
3120,14,1,1,20 a 24,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,8
3121,2,1,2,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,8
3122,6,2,2,15 a 19,37 a 41,Sin especificar,Menos de 2500 gramos,2
3123,42,2,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
3124,50,1,1,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,317
3125,66,1,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,18
3126,58,2,1,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10
3127,42,1,2,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,10
3128,6,9,2,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4
3129,6,1,1,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,356
3130,82,1,1,30 a 34,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,1
3131,30,1,1,35 a 39,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
3132,6,1,2,40 a 44,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,3
3133,10,1,2,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,1
3134,6,1,1,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,13
3135,14,9,2,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
3136,90,1,1,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,3
3137,66,1,1,25 a 29,32 a 36,Sin especificar,2500 gramos y más,2
3138,54,1,2,Sin especificar,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3139,22,1,1,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,12
3140,18,1,2,35 a 39,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,6
3141,74,1,2,35 a 39,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,77
3142,82,1,1,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,10
3143,62,2,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3144,82,1,2,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,36
3145,18,2,2,15 a 19,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3146,10,1,1,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,7
3147,98,1,1,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3148,22,1,2,Menor de 15,Sin especificar,Sin especificar,Sin especificar,1
3149,38,1,1,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,31
3150,18,1,1,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,7
3151,74,1,1,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3152,14,9,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3153,2,1,2,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,23
3154,62,1,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2
3155,50,1,1,15 a 19,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4
3156,18,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,517
3157,10,1,1,35 a 39,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,1
3158,58,1,1,40 a 44,32 a 36,Sin especificar,Menos de 2500 gramos,1
3159,6,1,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1638
3160,14,1,2,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3161,62,1,1,35 a 39,42 y más,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3162,50,1,2,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,1
3163,18,2,2,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3164,18,1,1,15 a 19,42 y más,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3165,90,1,2,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
3166,22,2,2,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3167,18,1,1,25 a 29,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,1
3168,66,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,706
3169,90,1,1,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,Sin especificar,1
3170,74,1,1,25 a 29,37 a 41,Sin especificar,Menos de 2500 gramos,1
3171,82,2,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,30
3172,54,1,1,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,1
3173,86,2,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5
3174,30,1,1,15 a 19,28 a 31,Secundario/Polimodal Completa y más,2500 gramos y más,1
3175,6,1,9,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,35
3176,34,2,1,20 a 24,37 a 41,Sin especificar,2500 gramos y más,3
3177,2,1,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,3
3178,54,1,2,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,6
3179,54,1,2,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,4
3180,70,1,1,20 a 24,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,14
3181,66,1,2,De 45 y más,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3182,10,1,2,30 a 34,37 a 41,Sin especificar,2500 gramos y más,40
3183,94,1,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,3
3184,58,2,1,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3185,34,2,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3186,30,2,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
3187,90,2,2,20 a 24,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3188,82,2,9,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3189,14,1,2,35 a 39,28 a 31,Sin especificar,Menos de 2500 gramos,1
3190,22,1,1,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3191,6,1,1,Menor de 15,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,1
3192,90,2,1,30 a 34,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3193,58,2,2,35 a 39,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3194,70,1,1,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4
3195,58,2,1,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
3196,22,1,1,De 45 y más,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3197,54,1,2,15 a 19,37 a 41,Secundario/Polimodal Completa y más,Sin especificar,2
3198,26,1,2,35 a 39,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3199,6,1,9,Sin especificar,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3200,10,1,1,30 a 34,Sin especificar,Sin especificar,Sin especificar,1
3201,42,2,2,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3202,14,1,1,30 a 34,28 a 31,Secundario/Polimodal Completa y más,2500 gramos y más,1
3203,42,2,1,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3204,82,2,1,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1
3205,14,2,2,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,4
3206,6,2,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,46
3207,18,1,2,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,5
3208,66,1,1,Sin especificar,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,3
3209,22,1,1,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,58
3210,99,1,2,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,1
3211,6,9,2,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3212,38,2,2,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2
3213,62,1,2,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,8
3214,42,1,2,15 a 19,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3215,82,2,1,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3216,38,2,1,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,11
3217,90,1,2,25 a 29,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,3
3218,66,1,1,De 45 y más,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,16
3219,14,1,1,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,40
3220,50,2,2,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,11
3221,30,1,2,30 a 34,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,44
3222,70,1,1,20 a 24,Sin especificar,Sin especificar,Sin especificar,1
3223,98,1,1,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,1
3224,54,1,2,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
3225,82,1,1,Menor de 15,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3226,66,2,2,25 a 29,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3227,18,1,2,20 a 24,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3228,82,2,1,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,9
3229,30,1,2,20 a 24,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3230,6,1,2,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,67
3231,82,2,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10
3232,6,2,2,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3233,6,1,1,Menor de 15,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3234,90,1,1,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,46
3235,90,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,2
3236,54,2,2,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3237,6,2,2,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3238,82,2,2,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,7
3239,66,2,2,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,2
3240,46,1,1,15 a 19,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
3241,54,1,1,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,23
3242,14,1,1,30 a 34,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,100
3243,62,2,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3244,82,1,2,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,4
3245,18,1,2,30 a 34,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,16
3246,34,1,2,40 a 44,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3247,66,1,1,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3248,6,9,1,Sin especificar,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3249,22,1,1,15 a 19,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3250,42,1,2,20 a 24,37 a 41,Sin especificar,Menos de 2500 gramos,1
3251,54,1,1,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,178
3252,62,2,2,25 a 29,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3253,26,1,2,20 a 24,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,544
3254,54,1,2,25 a 29,Sin especificar,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5
3255,34,1,1,15 a 19,37 a 41,Sin especificar,2500 gramos y más,31
3256,30,1,1,De 45 y más,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3257,66,1,2,30 a 34,Sin especificar,Secundaria/Polimodal Incompleta,2500 gramos y más,11
3258,18,1,1,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,161
3259,86,2,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3260,70,1,2,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,404
3261,90,1,2,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,16
3262,50,1,1,20 a 24,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2
3263,14,1,2,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,49
3264,10,1,2,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2
3265,14,1,1,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,52
3266,70,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,22
3267,46,1,2,35 a 39,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3
3268,18,1,2,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,11
3269,90,1,1,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4
3270,18,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,10
3271,2,2,2,20 a 24,24 a 27,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3272,94,1,1,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,4
3273,78,1,2,25 a 29,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,10
3274,30,2,2,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2
3275,66,2,1,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,14
3276,78,1,2,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,2
3277,78,1,2,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,221
3278,99,1,1,40 a 44,24 a 27,Sin especificar,Menos de 2500 gramos,1
3279,54,1,1,20 a 24,37 a 41,Sin especificar,Sin especificar,1
3280,82,1,2,15 a 19,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3281,6,2,2,35 a 39,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3282,10,1,1,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,6
3283,54,1,2,35 a 39,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,14
3284,54,1,2,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,8
3285,22,2,1,20 a 24,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,4
3286,10,1,1,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3287,30,1,1,20 a 24,24 a 27,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1
3288,98,1,2,30 a 34,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3289,18,1,1,20 a 24,Sin especificar,Secundaria/Polimodal Incompleta,Sin especificar,1
3290,78,2,1,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3291,78,1,2,35 a 39,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,1
3292,90,1,2,20 a 24,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,16
3293,30,1,1,20 a 24,42 y más,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3294,6,1,1,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,188
3295,26,1,1,15 a 19,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,9
3296,6,2,1,30 a 34,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1
3297,74,1,1,35 a 39,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2
3298,22,9,1,Sin especificar,Sin especificar,Hasta Primaria/C.EGB Completa,Sin especificar,1
3299,10,1,1,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
3300,18,2,1,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3
3301,74,1,2,20 a 24,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,10
3302,30,1,9,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3303,14,1,1,35 a 39,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3304,6,9,2,15 a 19,37 a 41,Sin especificar,2500 gramos y más,1
3305,58,1,2,20 a 24,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,1
3306,22,1,2,40 a 44,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,2
3307,82,1,1,40 a 44,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,262
3308,58,1,1,40 a 44,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,25
3309,66,1,1,30 a 34,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,12
3310,82,1,1,40 a 44,32 a 36,Sin especificar,Menos de 2500 gramos,1
3311,30,1,1,20 a 24,42 y más,Secundario/Polimodal Completa y más,2500 gramos y más,49
3312,18,1,2,20 a 24,28 a 31,Hasta Primaria/C.EGB Completa,Sin especificar,1
3313,10,1,1,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3314,6,1,1,30 a 34,28 a 31,Sin especificar,2500 gramos y más,1
3315,22,1,2,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,670
3316,42,1,1,30 a 34,37 a 41,Sin especificar,Menos de 2500 gramos,1
3317,14,2,1,30 a 34,24 a 27,Sin especificar,Menos de 2500 gramos,2
3318,38,1,1,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,3
3319,6,1,2,30 a 34,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,40
3320,54,1,1,Sin especificar,32 a 36,Secundaria/Polimodal Incompleta,2500 gramos y más,1
3321,2,1,1,40 a 44,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,14
3322,10,1,1,20 a 24,37 a 41,Sin especificar,2500 gramos y más,67
3323,86,1,2,15 a 19,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,848
3324,50,1,2,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,7
3325,98,1,1,40 a 44,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,3
3326,6,1,1,35 a 39,Sin especificar,Sin especificar,Menos de 2500 gramos,2
3327,2,1,2,25 a 29,Sin especificar,Hasta Primaria/C.EGB Completa,2500 gramos y más,39
3328,10,1,2,Menor de 15,Menos de 22,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3329,99,1,2,35 a 39,42 y más,Sin especificar,2500 gramos y más,1
3330,99,1,1,25 a 29,37 a 41,Secundaria/Polimodal Incompleta,Sin especificar,1
3331,10,2,1,20 a 24,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2
3332,66,1,1,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,12
3333,66,1,1,20 a 24,32 a 36,Hasta Primaria/C.EGB Completa,Sin especificar,1
3334,54,2,2,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,1
3335,42,1,2,30 a 34,32 a 36,Sin especificar,Menos de 2500 gramos,1
3336,2,1,1,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,5159
